Zombie	Rum	Fruity, Sour	Pineapple juice	Orange	Ingredients: 25ml dark rum (or a mixture of dark rum and golden rum), 25ml white rum (or a mixture of white rum and overproof rum), 50ml lime juice, 150ml pineapple, juice, ice, 1 tsp grenadine >For the garnish:, wedge of orange, maraschino cherries, mint sprig >Method: Pour the rums and fruit juices into a cocktail shaker filled with ice and shake hard until the outside of the shaker feels really cold. Strain the mixture into a tall glass or hurricane glass filled with ice, then slowly pour in the grenadine to colour the drink. Skewer the orange wedge and cherries on a cocktail stick. Garnish the drink with mint sprigs and the skewered fruit.	https://images.immediate.co.uk/production/volatile/sites/30/2020/08/zombie-a2ad1e2.jpg?quality=90&webp=true&resize=440,400
Cosmopolitan	Vodka	Fruity	Lime Juice	Lime	Ingredients: 1 1/2 ounces citron vodka, 3/4 ounce Cointreau, 3/4 ounce lime juice, freshly squeezed, 1/2 ounce cranberry juice cocktail >Garnish: lime wedge >Steps: Add the vodka, Cointreau, lime juice, and cranberry juice cocktail into a shaker with ice and shake until well-chilled. Strain into a chilled cocktail glass >Garnish with a lime wedge.	https://www.liquor.com/thmb/pKt3MNDKR8tA1BB8AggQCBLQpL0=/720x0/filters:no_upscale():max_bytes(150000):strip_icc()/cosmopolitan-720x720-primary-0190d40114c741648979dae7e46b6bbf.jpg
Bloody Mary	Vodka	Savory	Tomato Juice	celery	Ingredients: 4 fluid ounces tomato juice, 1,5 fluid ounces vodka, 0.25 fluid ounce fresh lemon juice, 4 dashes hot pepper sauce (such as Tabasco®), 2 dashes Worcestershire sauce, 1 pinch salt and ground black pepper, ice, 1 stalk celery, for garnish >Method: Fill a pint glass or goblet with 1,5 cups ice. Set aside. Combine tomato juice, vodka, lemon juice, hot pepper sauce, Worcestershire sauce, salt, black pepper, and 1 cup ice in a mixing glass. Stir until chilled and strain into ice-filled pint glass or goblet >Garnish with a celery stalk.	https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F835760.jpg
El Diablo	Tequila	Spicy	Lime Juice	Lime	Ingredients: 1,5 ounces reposado tequila, 0,5 ounce creme de cassis, 0,5 ounce lime juice, freshly squeezed, 3 ounces, ginger beer >Method: Add the tequila, creme de cassis and lime juice into a shaker with ice and shake until well-chilled. Strain into a Collins glass over fresh ice and top with the ginger beer. >Garnish with a lime wedge.	https://www.liquor.com/thmb/LBreN06JWq6km2SoF8ijvqQFzxU=/720x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__liquor__2016__03__28104153__el-diablo-720x720-recipe-e9f133dcfbc5488b8025374ee609ec0a.jpg
White Lady	Gin	Sweet, Sour	Lime Juice, Syup	None	Ingredients: 50ml gin, 25ml triple sec, 25ml lemon juice, plus lemon zest twists to serve, 2 tsp sugar syrup, 0,5 egg white (optional), handful of ice >Method: Tip the gin, triple sec, lemon juice, sugar syrup, egg white (if using) and ice into a cocktail shaker. Shake until the outside of the shaker feels very cold, then strain the mixture. Discard the ice, then return the drink to the shaker and shake again until the egg white is frothy. Pour into a coupe glass and garnish with a twist of lemon zest to serve.	https://images.immediate.co.uk/production/volatile/sites/30/2020/09/White-lady-1befee9.jpg?quality=90&webp=true&resize=900,817
Gin Gin Mule	Gin	Spicy	Lime Juice	Mint	Ingredients: 8 mint leaves, 1 ounce simple syrup, 3/4 ounce freshly squeezed lime juice, 1 1/2 ounces gin, 4 to 5 ounces ginger beer, to taste >Mint sprig, for garnish >Steps: Gather the ingredients. In a cocktail shaker, add the mint leaves, simple syrup, and lime juice. Muddle well to release the essence of the herbs. Add gin and fill the shaker with ice. Shake well.Strain into a highball glass filled with fresh ice. Double straining is recommended if you don't want any hint of small particles or torn herbs in your beverage. Top with ginger beer. Garnish with a sprig of mint. Serve and enjoy.	https://www.thespruceeats.com/thmb/EeXPCSpNm-pbm1alSuG4hC8wr9M=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/classic-gin-gin-mule-cocktail-recipe-4137218-9-5bd7166146e0fb0026f23016.jpg
Jungle Bird	Rum	Sour	Pineapple juice	Pineapple	Ingredients: 1,5 ounces dark or blackstrap rum, 3/4 ounce Campari, 1 1/2 ounces pineapple juice, 1/2 ounce lime juice, freshly squeezed, 1/2 ounce demerara syrup >Garnish: pineapple wedge >Steps: Add the rum, Campari, pineapple juice, lime juice and demerara syrup into a shaker with ice and shake until well-chilled. Strain into a rocks glass over fresh ice. Garnish with a pineapple wedge.	https://www.liquor.com/thmb/N8knM2fs5IJVy6T4cn8LPNtuFio=/720x0/filters:no_upscale():max_bytes(150000):strip_icc()/jungle-bird-720x720-primary-549e0765f87e412488cf864e012e2e25.jpg
Dirty Martini 	Gin,Vodka	Savory	None	Olive	Ingredients: 2 1/2 ounces gin or vodka, 1/2 ounce dry vermouth, 1/2 ounce olive brine >Garnish: 2 to 4 olives >Steps: Add the gin or vodka, vermouth and olive brine to a mixing glass filled with ice and stir until well-chilled. Strain into a chilled cocktail glass. Garnish with a skewer of olives.	https://www.liquor.com/thmb/YVJ1Bk7xVmuHmrLAsN8KJok1RYE=/720x0/filters:no_upscale():max_bytes(150000):strip_icc()/__opt__aboutcom__coeus__resources__content_migration__liquor__2011__04__15150034__dirty-martini-720x720-recipe-7127449167d548c981c6103fd60f49b0.jpg
Bees knees 	Gin	Sour	Syrup	Lime	Ingredients: 0,5 ounce honey syrup, 1 ounce lemon juice (about 0,5 medium lemon), 2 ounces gin, Lemon twist, for garnish >Instructions: To make the honey syrup: Combine equal parts honey and water (say, 2 tablespoons each if you’re only making a few cocktails) in a microwave-safe bowl or small saucepan. Warm in the microwave or over the stovetop just until you can completely stir the honey into the water. Set aside. Before juicing your lemons, use a vegetable peeler or channel knife to peel off a strip(s) of zest for your twist. To make the cocktail, fill a cocktail shaker with ice. Pour in the honey syrup, lemon juice and gin. Securely fasten the lid and shake until the mixture is very cold, about 30 seconds. Strain the drink into a coupe or martini glass. Twist the lemon peel over the cocktail to release some of its oils, then drop it in. Enjoy while cold.	https://cookieandkate.com/images/2020/04/bees-knees-drink.jpg
Mary Pickford	Rum	Fruity	pineapple juice	none	Ingredients: 1 1/2 ounces white rum, 1 1/2 ounces pineapple juice, 1 teaspoon grenadine, 6 drops maraschino liqueur >Steps: Add the white rum, pineapple juice, grenadine and maraschino liqueur to a cocktail shaker with ice and shake until well-chilled. Strain into a chilled cocktail glass.	https://www.liquor.com/thmb/K_5PI4a_e712hZJEyv7y787ujIQ=/720x0/filters:no_upscale():max_bytes(150000):strip_icc()/mary-pickford-720x720-primary-d3a86684af4b42bfb7c90074135aec24.jpg
Lime Margarita	Tequila	Sweet, Sour	Lime Juice	Lime	Ingredients: 1 1/2 cups gold tequila, 3/4 cup Triple Sec, 3/4 cup fresh lime juice, 4 tablespoons sugar, 8 cups crushed ice, 2 tablespoons kosher salt, 6 lime wedges >Steps: Combine tequila, triple sec, lime juice, and 2 tablespoons sugar in large pitcher ; stir to dissolve sugar. Add crushed ice. Mix salt and remaining 2 tablespoons sugar in shallow bowl. Moisten rim of 6 Margarita glasses with lime wedge. Holding each glass upside down, dip rim into sugar-salt mixture. Pour Margarita into glasses. Garnish with lime wedges.	https://assets.epicurious.com/photos/57990971e4857f9f1047d07e/master/w_1280,c_limit/fresh-lime-margarita.jpg
Mint Julep	Whisky	Herbaceous	Syrup	Mint	Ingredients: 65ml bourbon, 10 mint leaves, 12.5ml 2:1 sugar syrup (see tip, below), ice , cubes and crushed >For the garnish: a big mint sprig and a straw >Method: Shake the bourbon, mint leaves and sugar syrup with ice and strain into a highball glass or julep tin filled with crushed ice. Churn gently with a long-handled spoon and top with more crushed ice. Garnish and serve. >Sugar syrup:Dissolve 200g sugar in 100ml water over a low heat. Leave to cool, then bottle. Store in the fridge for up to one week.	https://images.immediate.co.uk/production/volatile/sites/30/2020/08/mint-julep-1fb165b.jpg?quality=90&webp=true&resize=440,400
Blood Orange Spritz	Wine	Fruity	Orange Juice	Orange	Ingredients: 1/4 c. blood orange juice, 1 tbsp. Aperol, Sparkling wine, Blood orange twist, for serving >Directions: Fill cocktail shaker with ice. Add blood orange juice and Aperol and shake well, 1 minute. Strain into champagne coupe and top with sparkling wine. Serve with blood orange twist.	https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/blood-orange-spritz-ghk-1543265945.jpg?crop=1xw:1xh;center,top&resize=980:*
